Từ vựng,Phát âm,Nghĩa,Chủ đề
Dizziness,/ˈdɪznəs/,Chóng mặt,Từ vựng về các loại bệnh
Vomiting,/ˈvɑmɪtɪŋ/,Nôn mửa,Từ vựng về các loại bệnh
Diarrhea,/daɪəˈriə/,Tiêu chảy,Từ vựng về các loại bệnh
Rash,/ræʃ/,Nổi mẩn,Từ vựng về các loại bệnh
Swelling,/ˈswɛlɪŋ/,Sưng,Từ vựng về các loại bệnh
Fatigue,/fəˈtiːɡ/,Mệt mỏi,Từ vựng về các loại bệnh
Chills,/ʧɪlz/,Rùng mình,Từ vựng về các loại bệnh
Shortness of breath,/ˈʃɔrtnəs ʌv brɛθ/,Khó thở,Từ vựng về các loại bệnh
Stomachache,/ˈstʌməkˌeɪk/,Đau bụng,Từ vựng về các loại bệnh
Back pain,/bæk peɪn/,Đau lưng,Từ vựng về các loại bệnh
Joint pain,/ʤɔɪnt peɪn/,Đau khớp,Từ vựng về các loại bệnh
Numbness,/ˈnʌmnəs/,Tê liệt,Từ vựng về các loại bệnh
Curriculum,/kəˈrɪkjələm/,Chương trình học,Từ vựng về giáo dục
Classroom,/ˈklæsruːm/,Lớp học,Từ vựng về giáo dục
Teacher,/ˈtiːʧər/,Giáo viên,Từ vựng về giáo dục
Student,/ˈstjuːdənt/,Học sinh,Từ vựng về giáo dục
Learning,/ˈlɜːrnɪŋ/,Việc học,Từ vựng về giáo dục
Knowledge,/ˈnɑːlɪdʒ/,Kiến thức,Từ vựng về giáo dục
Homework,/ˈhoʊmwɜːrk/,Bài tập về nhà,Từ vựng về giáo dục
Assignment,/əˈsaɪnmənt/,Bài tập được giao,Từ vựng về giáo dục
Test,/tɛst/,Bài kiểm tra,Từ vựng về giáo dục
Exam,/ɪɡˈzæm/,Kỳ thi,Từ vựng về giáo dục
Grade,/ɡreɪd/,Điểm số,Từ vựng về giáo dục
School,/skuːl/,Trường học,Từ vựng về giáo dục
University,/ˌjuːnɪˈvɜːrsɪti/,Đại học,Từ vựng về giáo dục
Lecture,/ˈlɛkʧər/,Bài giảng,Từ vựng về giáo dục
Research,/rɪˈsɜːrtʃ/,Nghiên cứu,Từ vựng về giáo dục
Library,/ˈlaɪbrəri/,Thư viện,Từ vựng về giáo dục
Degree,/dɪˈɡriː/,Bằng cấp,Từ vựng về giáo dục
Scholarships,/ˈskɒlərʃɪps/,Học bổng,Từ vựng về giáo dục
Distance learning,/ˈdɪstəns ˈlɜːrnɪŋ/,Học từ xa,Từ vựng về giáo dục
Extracurricular,/ˌɛkstrəkəˈrɪkjələr/,Ngoại khóa,Từ vựng về giáo dục
Mathematics,/ˌmæθəˈmætɪks/,Toán học,Từ vựng về các môn học
Science,/ˈsaɪəns/,Khoa học,Từ vựng về các môn học
History,/ˈhɪstəri/,Lịch sử,Từ vựng về các môn học
Geography,/dʒiˈɑːɡrə/,Địa lý,Từ vựng về các môn học
Literature,/ˈlɪtərətʃər/,Văn học,Từ vựng về các môn học
English,/ˈɪŋɡlɪʃ/,Tiếng Anh,Từ vựng về các môn học
Art,/ɑːrt/,Mỹ thuật,Từ vựng về các môn học
Music,/ˈmjuːzɪk/,m nhạc,Từ vựng về các môn học
Physical Education,/ˈfɪzɪkəl ˌɛdjuˈkeɪʃən/,Giáo dục thể chất,Từ vựng về các môn học
Chemistry,/ˈkɛmɪstri/,Hóa học,Từ vựng về các môn học
Physics,/ˈfɪzɪks/,Vật lý,Từ vựng về các môn học
Biology,/baɪˈɑːlədʒi/,Sinh học,Từ vựng về các môn học
Economics,/ˌiːkəˈnɑːmɪks/,Kinh tế,Từ vựng về các môn học
Psychology,/saɪˈkɒlədʒi/,Tâm lý học,Từ vựng về các môn học
Sociology,/ˌsoʊsiˈɒlədʒi/,Xã hội học,Từ vựng về các môn học
Computer Science,/kəmˈpjuːtər ˈsaɪəns/,Khoa học máy tính,Từ vựng về các môn học
Foreign Language,/ˈfɔːrən ˈlæŋɡwɪdʒ/,Ngoại ngữ,Từ vựng về các môn học
Ethics,/ˈɛθɪks/,Đạo đức,Từ vựng về các môn học
Philosophy,/fɪˈlɒsə/,Triết học,Từ vựng về các môn học
Political Science,/pəˈlɪtɪkəl ˈsaɪəns/,Khoa học chính trị,Từ vựng về các môn học
Communication,/kəˌmjuːnɪˈkeɪʃən/,Giao tiếp,Từ vựng về kỹ năng
Leadership,/ˈliːdərʃɪp/,Lãnh đạo,Từ vựng về kỹ năng
Teamwork,/ˈtiːmwɜːrk/,Làm việc nhóm,Từ vựng về kỹ năng
Problem-solving,/ˈprɒbləm ˈsɒlvɪŋ/,Giải quyết vấn đề,Từ vựng về kỹ năng
Adaptability,/əˌdæptəˈbɪləti/,Tính thích nghi,Từ vựng về kỹ năng
Time management,/taɪm ˈmænɪdʒmənt/,Quản lý thời gian,Từ vựng về kỹ năng
Critical thinking,/ˈkrɪtɪkəl ˈθɪŋkɪŋ/,Tư duy phản biện,Từ vựng về kỹ năng
Creativity,/kriːeɪˈtɪvɪti/,Sáng tạo,Từ vựng về kỹ năng
Emotional intelligence,/ɪˌmoʊʃənəl ˌɪnˈtɛlɪdʒəns/,Trí tuệ cảm xúc,Từ vựng về kỹ năng
Collaboration,/kəˌlæbəˈreɪʃən/,Hợp tác,Từ vựng về kỹ năng
Conflict resolution,/ˈkɒnflɪkt ˌrɛzəˈluːʃən/,Giải quyết xung đột,Từ vựng về kỹ năng
Decision-making,/dɪˈsɪʒən ˌmeɪkɪŋ/,Quyết định,Từ vựng về kỹ năng
Negotiation,/nɪˌɡoʊʃiˈeɪʃən/,Đàm phán,Từ vựng về kỹ năng
Presentation skills,/ˌprɛzənˈteɪʃən ˈskɪlz/,Kỹ năng thuyết trình,Từ vựng về kỹ năng
Interpersonal skills,/ˌɪntərˈpɜːrsənəl ˈskɪlz/,Kỹ năng giao tiếp,Từ vựng về kỹ năng
Networking,/ˈnɛtˌwɜːrkɪŋ/,Mạng lưới,Từ vựng về kỹ năng
Self-motivation,/ˌsɛlf ˌmoʊtɪˈveɪʃən/,Tự thúc đẩy,Từ vựng về kỹ năng
Empathy,/ˈɛmpəθi/,Đồng cảm,Từ vựng về kỹ năng
Conflict management,/ˈkɒnflɪkt ˈmænɪdʒmənt/,Quản lý xung đột,Từ vựng về kỹ năng
Tet,/tɛt/,Tết,Từ vựng về các lễ hội ở Việt Nam
Mid-Autumn Festival,/mɪd ˈɔːtən ˈfɛstəvəl/,Tết Trung Thu,Từ vựng về các lễ hội ở Việt Nam
Lantern Festival,/ˈlæntərn ˈfɛstəvəl/,Lễ hội đèn lồng,Từ vựng về các lễ hội ở Việt Nam
Hue Festival,/hjuː ˈfɛstəvəl/,Festival Huế,Từ vựng về các lễ hội ở Việt Nam
Da Lat Flower Festival,/dɑː lɑːt ˈflaʊər ˈfɛstəvəl/,Lễ hội hoa Đà Lạt,Từ vựng về các lễ hội ở Việt Nam
Bualo Fighting Festival,/ˈbʌfəloʊ ˈfaɪtɪŋ ˈfɛstəvəl/,Lễ hội đấu trâu,Từ vựng về các lễ hội ở Việt Nam
Reunication Day,/ˌriːjunɪfɪˈkeɪʃən ˈdeɪ/,Ngày Thống nhất,Từ vựng về các lễ hội ở Việt Nam
Victory Day,/ˈvɪktəri ˈdeɪ/,Ngày Chiến thắng,Từ vựng về các lễ hội ở Việt Nam
Lantern Festival,/ˈlæntərn ˈfɛstəvəl/,Lễ hội đèn lồng,Từ vựng về các lễ hội ở Việt Nam
Vietnamese New Year,/viˌɛtnəˈmis njuː ˈjɪr/,Nămmới theo lịch Việt,Từ vựng về các lễ hội ở Việt Nam
Nguyen Tieu Festival,/nʊjɛn tiːˈjuː ˈfɛstəvəl/,Lễ hội Nguyên Tiêu,Từ vựng về các lễ hội ở Việt Nam
Cau Ngu Festival,/kɑː nuː ˈfɛstəvəl/,Lễ hội Cầu Ngư,Từ vựng về các lễ hội ở Việt Nam
Giong Festival,/ɡiːɒŋ ˈfɛstəvəl/,Lễ hội Gióng,Từ vựng về các lễ hội ở Việt Nam
Kate Festival,/keɪt ˈfɛstəvəl/,Lễ hội Kate,Từ vựng về các lễ hội ở Việt Nam
Mooncake,/ˈmuːnkeɪk/,Bánh trung thu,Từ vựng về Tết trung thu
Lantern,/ˈlæntərn/,Đèn lồng,Từ vựng về Tết trung thu
Mid-Autumn Festival,/mɪd ˈɔːtən ˈfɛstəvəl/,Lễ hội Trung thu,Từ vựng về Tết trung thu
Full moon,/fʊl mun/,Trăng tròn,Từ vựng về Tết trung thu
Family reunion,/ˈfæməli ˌriːˈjunjən/,Đoàn tụ gia đình,Từ vựng về Tết trung thu
Moon gazing,/mun ˈɡeɪzɪŋ/,Nhìn trăng,Từ vựng về Tết trung thu
Mooncake making,/ˈmuːnkeɪk ˌmeɪkɪŋ/,Làm bánh trung thu,Từ vựng về Tết trung thu
Festival,/ˈfɛstəvəl/,Lễ hội,Từ vựng về Tết trung thu
Tradition,/trəˈdɪʃən/,Truyền thống,Từ vựng về Tết trung thu
Lantern procession,/ˈlæntərn prəˈsɛʃən/,Diễu hành đèn lồng,Từ vựng về Tết trung thu
Moon worship,/mun ˈwɜːrʃɪp/,Tế thần trăng,Từ vựng về Tết trung thu
Harvest,/ˈhɑːrvɪst/,Mùa thu hoạch,Từ vựng về Tết trung thu
Moon festival games,/mun ˈfɛstəvəl ɡeɪmz/,Trò chơi trong lễ hội Trung thu,Từ vựng về Tết trung thu
Mooncake exchange,/ˈmuːnkeɪk ɪksˈtʃeɪndʒ/,Trao đổi bánh trung thu,Từ vựng về Tết trung thu
Delicious,/dɪˈlɪʃəs/,Ngon,Từ vựng về Tết trung thu
Mooncake box,/ˈmuːnkeɪk bɒks/,Hộp bánh trung thu,Từ vựng về Tết trung thu
Lantern riddles,/ˈlæntərn ˈrɪdəlz/,Đố đèn lồng,Từ vựng về Tết trung thu
Lotus,/ˈloʊtəs/,Sen,Từ vựng về Tết trung thu
Pomelo,/ˈpɒməloʊ/,Bưởi,Từ vựng về Tết trung thu
Mooncake lling,/ˈmuːnkeɪk ˈfɪlɪŋ/,Nhân bánh trung thu,Từ vựng về Tết trung thu
Folk Games,/foʊk ɡeɪmz/,Trò chơi dân gian,Từ vựng về trò chơi dân gian
Tug of War,/tʌɡ ʌv wɔːr/,Kéo co,Từ vựng về trò chơi dân gian
Blind Man's Blu,/blaɪnd mænz blʌf/,Trò chơi Bịp bợm,Từ vựng về trò chơi dân gian
Shuttlecock,/ˈʃʌtl̩kɒk/,Cầu lông,Từ vựng về trò chơi dân gian
Hopscotch,/ˈhɑːpskɑːtʃ/,Nhảy chân,Từ vựng về trò chơi dân gian
Marbles,/ˈmɑːrbəlz/,Bi gỗ,Từ vựng về trò chơi dân gian
Skipping Rope,/ˈskɪpɪŋ roʊp/,Thảy dây,Từ vựng về trò chơi dân gian
Bamboo Stilts,/ˈbæmbuː stɪlts/,Giày gỗ,Từ vựng về trò chơi dân gian
Mancala,/mæŋˈkɑːlə/,Cờ cá ngựa,Từ vựng về trò chơi dân gian
Kite Flying,/kaɪt ˈflaɪɪŋ/,Lao diều,Từ vựng về trò chơi dân gian
Cockghting,/ˈkɒkˌfaɪtɪŋ/,Đá gà,Từ vựng về trò chơi dân gian
Fan Dancing,/fæn ˈdænsɪŋ/,Múa quạt,Từ vựng về trò chơi dân gian
Water Puppetry,/ˈwɔːtər ˈpʌpɪtri/,Múa rối nước,Từ vựng về trò chơi dân gian
Jackstones,/ˈdʒækstənz/,Bài tát,Từ vựng về trò chơi dân gian
Five Stones,/faɪv stoʊnz/,Ném gạch,Từ vựng về trò chơi dân gian
Congkak,/ˈtʃɒŋkæk/,Cờ cau,Từ vựng về trò chơi dân gian
Stick and Hoop,/stɪk ænd hup/,Đu quay,Từ vựng về trò chơi dân gian
Cat's Cradle,/kæts ˈkreɪdəl/,Dây nhảy cầu,Từ vựng về trò chơi dân gian
Pinata,/pɪˈnɑːtə/,Búp bê đập,Từ vựng về trò chơi dân gian
Egg Rolling,/ɛɡ ˈroʊlɪŋ/,Lăn trứng,Từ vựng về trò chơi dân gian
Culture,/ˈkʌltʃər/,Văn hóa,Từ vựng về văn hóa
Tradition,/trəˈdɪʃən/,Truyền thống,Từ vựng về văn hóa
Customs,/ˈkʌstəmz/,Phong tục,Từ vựng về văn hóa
Heritage,/ˈherɪtɪdʒ/,Di sản,Từ vựng về văn hóa
Ritual,/ˈrɪtʃuəl/,Nghi lễ,Từ vựng về văn hóa
Ceremony,/ˈsɛrəˌmoʊni/,Lễ nghi,Từ vựng về văn hóa
Folklore,/ˈfoʊklɔːr/,Văn hóa dân gian,Từ vựng về văn hóa
Artifacts,/ˈɑːrtɪˌfækts/,Đồ cổ,Từ vựng về văn hóa
Cultural Exchange,/ˈkʌltʃərəl ɪksˈʧeɪndʒ/,Trao đổi văn hóa,Từ vựng về văn hóa
Diversity,/daɪˈvɜrsɪti/,Đa dạng,Từ vựng về văn hóa
Multicultural,/ˌmʌltiˈkʌltʃərəl/,Đa văn hóa,Từ vựng về văn hóa
Ethnicity,/ɛθˈnɪsɪti/,Dân tộc,Từ vựng về văn hóa
Language,/ˈlæŋɡwɪʤ/,Ngôn ngữ,Từ vựng về văn hóa
Cuisine,/kwɪˈzin/,Ẩm thực,Từ vựng về văn hóa
Festivals,/ˈfɛstəvəlz/,Lễ hội,Từ vựng về văn hóa
Symbols,/ˈsɪmbəlz/,Biểu tượng,Từ vựng về văn hóa
Cultural Identity,/ˈkʌltʃərəl aɪˈdɛntɪti/,Nhận thức văn hóa,Từ vựng về văn hóa
Cultural Heritage,/ˈkʌltʃərəl ˈhɛrɪtɪdʒ/,Di sản văn hóa,Từ vựng về văn hóa
Artistic,/ɑːrˈtɪstɪk/,Mỹ thuật,Từ vựng về văn hóa
Values,/ˈvæljuːz/,Giá trị,Từ vựng về văn hóa
Art,/ɑːrt/,Nghệ thuật,Từ vựng về nghệ thuật
Painting,/ˈpeɪntɪŋ/,Tranh,Từ vựng về nghệ thuật
Sculpture,/ˈskʌlpʧər/,Điêu khắc,Từ vựng về nghệ thuật
Drawing,/ˈdrɔːɪŋ/,Vẽ,Từ vựng về nghệ thuật
Photography,/fəˈtɑːɡrə/,Nhiếp ảnh,Từ vựng về nghệ thuật
Gallery,/ˈɡæləri/,Phòng trưng bày,Từ vựng về nghệ thuật
Exhibit,/ɪɡˈzɪbɪt/,Triển lãm,Từ vựng về nghệ thuật
Sculptor,/ˈskʌlpʧər/,Nhà điêu khắc,Từ vựng về nghệ thuật
Brush,/brʌʃ/,Cọ,Từ vựng về nghệ thuật
Palette,/ˈpælɪt/,Bảng màu,Từ vựng về nghệ thuật
Canvas,/ˈkænvəs/,Bức tranh,Từ vựng về nghệ thuật
Sketch,/skɛtʃ/,Bản phác thảo,Từ vựng về nghệ thuật
Pottery,/ˈpɑːtəri/,Gốm sứ,Từ vựng về nghệ thuật
Ceramics,/səˈræmɪks/,Gốm sứ,Từ vựng về nghệ thuật
Abstract,/ˈæbstrækt/,Trừu tượng,Từ vựng về nghệ thuật
Landscape,/ˈlændskeɪp/,Phong cảnh,Từ vựng về nghệ thuật
Portrait,/ˈpɔːrtrət/,Chân dung,Từ vựng về nghệ thuật
Artistic,/ɑːrˈtɪstɪk/,Mỹ thuật,Từ vựng về nghệ thuật
Composition,/ˌkɑːmpəˈzɪʃən/,Cách bố trí,Từ vựng về nghệ thuật
Artwork,/ˈɑːrtwɜːrk/,Tác phẩm nghệ thuật,Từ vựng về nghệ thuật
Entrepreneur,/ˌɑːntrəprəˈnər/,Doanh nhân,Từ vựng về kinh doanh
Start-up,/ˈstɑːrtʌp/,Công ty khởi nghiệp,Từ vựng về kinh doanh
Investor,/ɪnˈvɛstər/,Nhà đầu tư,Từ vựng về kinh doanh
Prot,/ˈprɒfɪt/,Lợi nhuận,Từ vựng về kinh doanh
Loss,/lɔːs/,Lỗ,Từ vựng về kinh doanh
Market,/ˈmɑrkɪt/,Thị trường,Từ vựng về kinh doanh
Sales,/seɪlz/,Doanh số,Từ vựng về kinh doanh
Customer,/ˈkʌstəmər/,Khách hàng,Từ vựng về kinh doanh
Advertising,/ˈædvərˌtaɪzɪŋ/,Quảng cáo,Từ vựng về kinh doanh
Brand,/brænd/,Thương hiệu,Từ vựng về kinh doanh
Partnership,/ˈpɑrtnərˌʃɪp/,Đối tác,Từ vựng về kinh doanh
Investment,/ɪnˈvɛstmənt/,Đầu tư,Từ vựng về kinh doanh
Competition,/ˌkɑmpəˈtɪʃən/,Cạnh tranh,Từ vựng về kinh doanh
Strategy,/ˈstrætəʤi/,Chiến lược,Từ vựng về kinh doanh
Entrepreneurship,/ˌɑːntrəprəˈnɜrʃɪp/,Tinh thần khởi nghiệp,Từ vựng về kinh doanh
Stock,/stɑk/,Cổ phiếu,Từ vựng về kinh doanh
Revenue,/ˈrɛvəˌnjuː/,Doanh thu,Từ vựng về kinh doanh
Partnership,/ˈpɑrtnərˌʃɪp/,Đối tác,Từ vựng về kinh doanh
Negotiation,/nɪˌɡoʊʃiˈeɪʃən/,Đàm phán,Từ vựng về kinh doanh
Collaboration,/kəˌlæbəˈreɪʃən/,Hợp tác,Từ vựng về kinh doanh
Urban,/ˈɜːrbən/,Đô thị,Từ vựng về thành phố
Downtown,/ˈdaʊntaʊn/,Trung tâm thành phố,Từ vựng về thành phố
Suburb,/ˈsʌrbɜːrb/,Ngoại ô,Từ vựng về thành phố
Skyline,/ˈskaɪlaɪn/,Đường chân trời,Từ vựng về thành phố
Trac,/ˈtræfɪk/,Giao thông,Từ vựng về thành phố
Pedestrian,/pəˈdɛstriən/,Người đi bộ,Từ vựng về thành phố
Avenue,/ˈævənuː/,Đại lộ,Từ vựng về thành phố
Boulevard,/ˈbuːləˌvɑːrd/,Đại lộ,Từ vựng về thành phố
Intersection,/ˌɪntərˈsɛkʃən/,Ngã tư,Từ vựng về thành phố
Sidewalk,/ˈsaɪdwɔːk/,Vỉa hè,Từ vựng về thành phố
Park,/pɑːrk/,Công viên,Từ vựng về thành phố
Museum,/mjuːˈziəm/,Bảo tàng,Từ vựng về thành phố
Library,/ˈlaɪbrəri/,Thư viện,Từ vựng về thành phố
Restaurant,/ˈrɛstərɒnt/,Nhà hàng,Từ vựng về thành phố
Shopping mall,/ˈʃɑpɪŋmɔːl/,Trung tâmmua sắm,Từ vựng về thành phố
Skyscraper,/ˈskaɪˌskreɪpər/,Tòa nhà chọc trời,Từ vựng về thành phố
Neighborhood,/ˈneɪbərˌhʊd/,Khu phố,Từ vựng về thành phố
Public transport,/ˈpʌblɪk ˈtrænspɔːrt/,Phương tiện giao thông công cộng,Từ vựng về thành phố
Landmark,/ˈlændmɑːrk/,Địa danh nổi tiếng,Từ vựng về thành phố
Fountain,/ˈfaʊntɪn/,Đài phun nước,Từ vựng về thành phố
United States,/juːˌnaɪtɪd ˈsteɪts/,Hoa Kỳ,Từ vựng về tên các nước
Canada,/ˈkænədə/,Canada,Từ vựng về tên các nước
Mexico,/ˈmɛksɪkoʊ/,Mexico,Từ vựng về tên các nước
Brazil,/brəˈzɪl/,Brazil,Từ vựng về tên các nước
France,/fræns/,Pháp,Từ vựng về tên các nước
Germany,/ˈdʒɜːrməni/,Đức,Từ vựng về tên các nước
Italy,/ˈɪtəli/,Ý,Từ vựng về tên các nước
Spain,/speɪn/,Tây Ban Nha,Từ vựng về tên các nước
United Kingdom,/juːˌnaɪtɪd ˈkɪŋdəm/,Vương quốc Anh,Từ vựng về tên các nước
Russia,/ˈrʌʃə/,Nga,Từ vựng về tên các nước
China,/ˈtʃaɪnə/,Trung Quốc,Từ vựng về tên các nước
Japan,/dʒəˈpæn/,Nhật Bản,Từ vựng về tên các nước
India,/ˈɪndiə/,Ấn Độ,Từ vựng về tên các nước
Australia,/ɔːˈstreɪliə/,Úc,Từ vựng về tên các nước
South Korea,/saʊθ kəˈriə/,Hàn Quốc,Từ vựng về tên các nước
Saudi Arabia,/ˌsɔːdi əˈreɪbiə/,Ả Rập Xê Út,Từ vựng về tên các nước
Egypt,/ˈiːdʒɪpt/,Ai Cập,Từ vựng về tên các nước
South Africa,/saʊθ ˈæfrɪkə/,Nam Phi,Từ vựng về tên các nước
Nigeria,/naɪˈdʒɪəriə/,Nigeria,Từ vựng về tên các nước
Argentina,/ˌɑːrʤənˈtiːnə/,Argentina,Từ vựng về tên các nước
Colleague,/ˈkɒliːɡ/,Đồng nghiệp,Từ vựng về đời sống công sở
Manager,/ˈmænɪdʒər/,Quản lý,Từ vựng về đời sống công sở
Meeting,/ˈmiːtɪŋ/,Cuộc họp,Từ vựng về đời sống công sở
Deadline,/ˈdɛd.laɪn/,Hạn chót,Từ vựng về đời sống công sở
Project,/ˈprɒdʒɛkt/,Dự án,Từ vựng về đời sống công sở
Presentation,/ˌprɛz.ənˈteɪ.ʃən/,Bài thuyết trình,Từ vựng về đời sống công sở
Teamwork,/ˈtiːm.wɜːk/,Làm việc nhóm,Từ vựng về đời sống công sở
Email,/ˈiːmeɪl/,Email,Từ vựng về đời sống công sở
Report,/rɪˈpɔːt/,Báo cáo,Từ vựng về đời sống công sở
Schedule,/ˈʃɛdjuːl/,Lịch trình,Từ vựng về đời sống công sở
Overtime,/ˈəʊ.və.taɪm/,Làm thêm giờ,Từ vựng về đời sống công sở
Promotion,/prəˈməʊ.ʃən/,Thăng chức,Từ vựng về đời sống công sở
Conference,/ˈkɒn.fər.əns/,Hội nghị,Từ vựng về đời sống công sở
Workload,/ˈwɜːk.loʊd/,Khối lượng công việc,Từ vựng về đời sống công sở
Oce,/ˈɒf.ɪs/,Văn phòng,Từ vựng về đời sống công sở
Desk,/dɛsk/,Bàn làm việc,Từ vựng về đời sống công sở
Meeting room,/ˈmiːtɪŋ ruːm/,Phòng họp,Từ vựng về đời sống công sở
Printer,/ˈprɪn.tər/,Máy in,Từ vựng về đời sống công sở
Deadline,/ˈdɛd.laɪn/,Hạn chót,Từ vựng về đời sống công sở
Business trip,/ˈbɪz.nəs trɪp/,Chuyến công tác,Từ vựng về đời sống công sở
